# t X Y Z X_set Y_set Z_set
48.483000 16.672579 21.939119 2.957325 0.000000 0.000000 3.000000
48.484000 16.667801 21.939110 2.957332 0.000000 0.000000 3.000000
48.485000 16.663023 21.939100 2.957339 0.000000 0.000000 3.000000
48.486000 16.658247 21.939091 2.957345 0.000000 0.000000 3.000000
48.487000 16.653469 21.939081 2.957352 0.000000 0.000000 3.000000
48.488000 16.648693 21.939072 2.957359 0.000000 0.000000 3.000000
48.489000 16.643917 21.939064 2.957366 0.000000 0.000000 3.000000
48.490000 16.639143 21.939054 2.957372 0.000000 0.000000 3.000000
48.491000 16.634367 21.939045 2.957379 0.000000 0.000000 3.000000
48.492000 16.629593 21.939035 2.957386 0.000000 0.000000 3.000000
48.493000 16.624819 21.939026 2.957393 0.000000 0.000000 3.000000
48.494000 16.620045 21.939016 2.957400 0.000000 0.000000 3.000000
48.495000 16.615273 21.939007 2.957407 0.000000 0.000000 3.000000
48.496000 16.610498 21.938997 2.957413 0.000000 0.000000 3.000000
48.497000 16.605726 21.938988 2.957420 0.000000 0.000000 3.000000
48.498000 16.600954 21.938978 2.957427 0.000000 0.000000 3.000000
48.499000 16.596182 21.938969 2.957434 0.000000 0.000000 3.000000
48.500000 16.591412 21.938959 2.957441 0.000000 0.000000 3.000000
48.501000 16.586639 21.938950 2.957448 0.000000 0.000000 3.000000
48.502000 16.581869 21.938940 2.957454 0.000000 0.000000 3.000000
48.503000 16.577099 21.938931 2.957461 0.000000 0.000000 3.000000
48.504000 16.572329 21.938921 2.957468 0.000000 0.000000 3.000000
48.505000 16.567560 21.938911 2.957475 0.000000 0.000000 3.000000
48.506000 16.562792 21.938902 2.957482 0.000000 0.000000 3.000000
48.507000 16.558022 21.938892 2.957489 0.000000 0.000000 3.000000
48.508000 16.553255 21.938883 2.957496 0.000000 0.000000 3.000000
48.509000 16.548487 21.938873 2.957503 0.000000 0.000000 3.000000
48.510000 16.543718 21.938864 2.957510 0.000000 0.000000 3.000000
48.511000 16.538952 21.938854 2.957517 0.000000 0.000000 3.000000
48.512000 16.534185 21.938845 2.957524 0.000000 0.000000 3.000000
48.513000 16.529419 21.938835 2.957531 0.000000 0.000000 3.000000
48.514000 16.524654 21.938826 2.957538 0.000000 0.000000 3.000000
48.515000 16.519888 21.938816 2.957545 0.000000 0.000000 3.000000
48.516000 16.515123 21.938805 2.957552 0.000000 0.000000 3.000000
48.517000 16.510359 21.938795 2.957559 0.000000 0.000000 3.000000
48.518000 16.505594 21.938786 2.957566 0.000000 0.000000 3.000000
48.519000 16.500832 21.938776 2.957573 0.000000 0.000000 3.000000
